question,expected_keywords,expected_conditions,expect_company,expect_indicator,expect_time,description
深圳华强最新的累计现金分红数额,"深圳华强,000062.SZ,累计现金分红数额,ACC_DIVIDEND_AMOUNT","ORDER BY,LIMIT 1",深圳华强,累计现金分红数额,latest,[dividend] 验证 累计现金分红数额 (table)
派林生物最新的累计现金分红数额,"派林生物,000403.SZ,累计现金分红数额,ACC_DIVIDEND_AMOUNT","ORDER BY,LIMIT 1",派林生物,累计现金分红数额,latest,[dividend] 验证 累计现金分红数额 (table)
平安银行最近一年的累计现金分红次数走势,"平安银行,000001.SZ,累计现金分红次数,ACC_DIVIDEND_COUNT",,平安银行,累计现金分红次数,1y,[dividend] 验证 累计现金分红次数 (table)
通程控股的累计现金分红次数是多少,"通程控股,000419.SZ,累计现金分红次数,ACC_DIVIDEND_COUNT",,通程控股,累计现金分红次数,10y,[dividend] 验证 累计现金分红次数 (table)
截至2023年底飞亚达的累计归母净利润,"飞亚达,000026.SZ,累计归母净利润,ACC_NET_PROFIT","<=,2023",飞亚达,累计归母净利润,until_2023,[dividend] 验证 累计归母净利润 (table)
潍柴动力最新的累计归母净利润,"潍柴动力,000338.SZ,累计归母净利润,ACC_NET_PROFIT","ORDER BY,LIMIT 1",潍柴动力,累计归母净利润,latest,[dividend] 验证 累计归母净利润 (table)
查一下丰原药业的分红率,"丰原药业,000153.SZ,分红率,DIVIDEND_RATIO",,丰原药业,分红率,10y,[dividend] 验证 分红率 (table)
截至2023年底京基智农的分红率,"京基智农,000048.SZ,分红率,DIVIDEND_RATIO","<=,2023",京基智农,分红率,until_2023,[dividend] 验证 分红率 (table)
2023年云鼎科技的年度每股股利(税前),"云鼎科技,000409.SZ,年度每股股利(税前),ACC_CASH_DVD_PER_SH_PRE_TAX",2023,云鼎科技,年度每股股利(税前),2023,[dividend] 验证 年度每股股利(税前) (table)
广聚能源的年度每股股利(税前)是多少,"广聚能源,000096.SZ,年度每股股利(税前),ACC_CASH_DVD_PER_SH_PRE_TAX",,广聚能源,年度每股股利(税前),10y,[dividend] 验证 年度每股股利(税前) (table)
盐田港最新的年度累计现金分红总额,"盐田港,000088.SZ,年度累计现金分红总额,ACC_TOT_CASH_DVD","ORDER BY,LIMIT 1",盐田港,年度累计现金分红总额,latest,[dividend] 验证 年度累计现金分红总额 (table)
截至2023年底湖北宜化的年度累计现金分红总额,"湖北宜化,000422.SZ,年度累计现金分红总额,ACC_TOT_CASH_DVD","<=,2023",湖北宜化,年度累计现金分红总额,until_2023,[dividend] 验证 年度累计现金分红总额 (table)
2023年全新好的年度现金分红比例,"全新好,000007.SZ,年度现金分红比例,ACC_TOT_CASH_DVD_RATE",2023,全新好,年度现金分红比例,2023,[dividend] 验证 年度现金分红比例 (table)
沙河股份最新的年度现金分红比例,"沙河股份,000014.SZ,年度现金分红比例,ACC_TOT_CASH_DVD_RATE","ORDER BY,LIMIT 1",沙河股份,年度现金分红比例,latest,[dividend] 验证 年度现金分红比例 (table)
截至2023年底合百集团的已宣告分红金额,"合百集团,000417.SZ,已宣告分红金额,DEC_DIV_CASH","<=,2023",合百集团,已宣告分红金额,until_2023,[dividend] 验证 已宣告分红金额 (table)
2023年深圳能源的已宣告分红金额,"深圳能源,000027.SZ,已宣告分红金额,DEC_DIV_CASH",2023,深圳能源,已宣告分红金额,2023,[dividend] 验证 已宣告分红金额 (table)
华联控股的股息率是多少,"华联控股,000036.SZ,股息率,DIV_YIELD",,华联控股,股息率,10y,[dividend] 验证 股息率 (table)
截至2023年底深粮控股的股息率,"深粮控股,000019.SZ,股息率,DIV_YIELD","<=,2023",深粮控股,股息率,until_2023,[dividend] 验证 股息率 (table)
2023年深纺织A的前复权收盘价,"深纺织A,000045.SZ,前复权收盘价,ADJCLOSE_BACKWARD","2023,TRADE_DT",深纺织A,前复权收盘价,2023,[market] 验证 前复权收盘价 (kline)
截至2023年底深粮控股的前复权收盘价,"深粮控股,000019.SZ,前复权收盘价,ADJCLOSE_BACKWARD","<=,2023,TRADE_DT",深粮控股,前复权收盘价,until_2023,[market] 验证 前复权收盘价 (kline)
平安银行最新的复权收盘价,"平安银行,000001.SZ,复权收盘价,ADJCLOSE_PRICE","ORDER BY,LIMIT 1,TRADE_DT",平安银行,复权收盘价,latest,[market] 验证 复权收盘价 (kline)
深天马A最新的复权收盘价,"深天马A,000050.SZ,复权收盘价,ADJCLOSE_PRICE","ORDER BY,LIMIT 1,TRADE_DT",深天马A,复权收盘价,latest,[market] 验证 复权收盘价 (kline)
