query,keywords,conditions,expect_company,expect_indicator,expect_time,description
深华发A最新的累计现金分红数额,"深华发A,000020.SZ,累计现金分红数额,ACC_DIVIDEND_AMOUNT","ORDER BY,LIMIT 1",深华发A,累计现金分红数额,latest,[dividend] 验证 累计现金分红数额 (table)
2023年平安银行的累计现金分红数额,"平安银行,000001.SZ,累计现金分红数额,ACC_DIVIDEND_AMOUNT",2023,平安银行,累计现金分红数额,2023,[dividend] 验证 累计现金分红数额 (table)
特力A最近一年的累计现金分红次数走势,"特力A,000025.SZ,累计现金分红次数,ACC_DIVIDEND_COUNT",,特力A,累计现金分红次数,1y,[dividend] 验证 累计现金分红次数 (table)
丰原药业最近一年的累计现金分红次数走势,"丰原药业,000153.SZ,累计现金分红次数,ACC_DIVIDEND_COUNT",,丰原药业,累计现金分红次数,1y,[dividend] 验证 累计现金分红次数 (table)
查一下深华发A的累计归母净利润,"深华发A,000020.SZ,累计归母净利润,ACC_NET_PROFIT",,深华发A,累计归母净利润,10y,[dividend] 验证 累计归母净利润 (table)
平安银行的累计归母净利润是多少,"平安银行,000001.SZ,累计归母净利润,ACC_NET_PROFIT",,平安银行,累计归母净利润,10y,[dividend] 验证 累计归母净利润 (table)
中洲控股最新的分红率,"中洲控股,000042.SZ,分红率,DIVIDEND_RATIO","ORDER BY,LIMIT 1",中洲控股,分红率,latest,[dividend] 验证 分红率 (table)
国药一致最新的分红率,"国药一致,000028.SZ,分红率,DIVIDEND_RATIO","ORDER BY,LIMIT 1",国药一致,分红率,latest,[dividend] 验证 分红率 (table)
深粮控股的年度每股股利(税前)是多少,"深粮控股,000019.SZ,年度每股股利(税前),ACC_CASH_DVD_PER_SH_PRE_TAX",,深粮控股,年度每股股利(税前),10y,[dividend] 验证 年度每股股利(税前) (table)
丽珠集团的年度每股股利(税前)是多少,"丽珠集团,000513.SZ,年度每股股利(税前),ACC_CASH_DVD_PER_SH_PRE_TAX",,丽珠集团,年度每股股利(税前),10y,[dividend] 验证 年度每股股利(税前) (table)
截至2023年底华天酒店的年度累计现金分红总额,"华天酒店,000428.SZ,年度累计现金分红总额,ACC_TOT_CASH_DVD","<=,2023",华天酒店,年度累计现金分红总额,until_2023,[dividend] 验证 年度累计现金分红总额 (table)
国际医学最新的年度累计现金分红总额,"国际医学,000516.SZ,年度累计现金分红总额,ACC_TOT_CASH_DVD","ORDER BY,LIMIT 1",国际医学,年度累计现金分红总额,latest,[dividend] 验证 年度累计现金分红总额 (table)
京基智农最新的年度现金分红比例,"京基智农,000048.SZ,年度现金分红比例,ACC_TOT_CASH_DVD_RATE","ORDER BY,LIMIT 1",京基智农,年度现金分红比例,latest,[dividend] 验证 年度现金分红比例 (table)
截至2023年底华控赛格的年度现金分红比例,"华控赛格,000068.SZ,年度现金分红比例,ACC_TOT_CASH_DVD_RATE","<=,2023",华控赛格,年度现金分红比例,until_2023,[dividend] 验证 年度现金分红比例 (table)
